,時間,時間數值,內容,按讚,留言,分享,觀看次數
0,today,1563544230.184746,今天的成語教學是：「,16000,3864,489,-1
1,2019年7月17日,1563292800.0,【臺北市政府通知】,20000,2944,306,-1
2,2019年7月15日,1563120000.0,【重大宣布！】..,99000,9996,3530,-1
3,2019年7月15日,1563120000.0,我常常告訴我們的團隊,36000,2796,892,-1
4,2019年7月13日,1562947200.0,世大運閉幕典禮的黑衣,29000,2174,574,-1
5,2019年7月11日,1562774400.0,【AM07:30｜市,28000,1773,1484,-1
6,2019年7月11日,1562774400.0,在台北，我們把具有歷,11000,802,609,-1
7,2019年7月11日,1562774400.0,每天早上7點，我還是,23000,970,483,-1
8,2019年7月9日,1562601600.0,【國家「幫你」養】,54000,3040,1489,-1
9,2019年7月7日,1562428800.0,上週，一名員警在台鐵,37000,1828,898,-1
10,2019年7月5日,1562256000.0,更新封面照片或其他,5638,-1,287,150000
11,2019年7月5日,1562256000.0,更新封面照片或其他,6753,-1,338,190000
12,2019年7月4日,1562169600.0,【出訪筆記：上海】,20000,2112,577,-1
13,2019年7月2日,1561996800.0,這一次前往上海參加雙,15000,2847,602,-1
14,2019年7月2日,1561996800.0,【居住正義政策的檢討,16000,1154,563,-1
15,2019年6月30日,1561824000.0,#偶在Faceboo,21000,1435,661,-1
16,2019年6月29日,1561737600.0,今天很熱。夏天這,24000,1319,1147,-1
17,2019年6月29日,1561737600.0,陳佩琪說，上一次來這,83000,2299,431,-1
18,2019年6月27日,1561564800.0,雙子星案審查五個月之,17000,5726,811,-1
19,2019年6月26日,1561478400.0,#這就是科學EP3,12000,1369,510,-1
20,2019年6月25日,1561392000.0,#北市府的認真日常,15000,988,761,-1
21,2019年6月23日,1561219200.0,【 臺北式 Taip,22000,2085,1376,-1
22,2019年6月22日,1561132800.0,上個禮拜去上專訪，沒,23000,1269,436,-1
23,2019年6月22日,1561132800.0,#送給畢業生的一段話,87000,2393,-1,-1
24,2019年6月22日,1561132800.0,三十年前，和陳佩琪來,71000,1639,310,-1
25,2019年6月19日,1560873600.0,#這就是科學#EP,11000,1149,378,-1
26,2019年6月19日,1560873600.0,#認同請分享民調,53000,2375,3044,-1
27,2019年6月19日,1560873600.0,#北市府的認真日常,14000,935,352,-1
28,2019年6月18日,1560787200.0,#填鴨教育外的另外一,13000,1104,565,-1
29,2019年6月17日,1560700800.0,#共融還是我們堅信的,14000,1274,632,-1
30,2019年6月17日,1560700800.0,飆捍館長是我們的好朋,19000,2144,324,-1
31,2019年6月15日,1560528000.0,#服務不分藍綠為,30000,3302,361,-1
32,2019年6月12日,1560268800.0,#這就是科學#4分,30000,3845,1030,-1
33,2019年6月11日,1560182400.0,昨天滯留鋒面來襲，台,42000,2468,570,-1
34,2019年6月10日,1560096000.0,世間萬物運行的一切準,15000,1950,206,-1
35,2019年6月9日,1560009600.0,連假結束前，給大家看,24000,1870,410,-1
36,2019年6月8日,1559923200.0,明天的「台北開齋節」,19000,1355,409,-1
37,2019年6月6日,1559750400.0,#端午節快樂端午,57000,3219,1489,-1
38,2019年6月5日,1559664000.0,【好的民主】台灣,19000,1743,421,-1
39,2019年6月5日,1559664000.0,議會一讀通過的重陽敬,37000,2079,1006,-1
40,2019年6月4日,1559577600.0,昨天中午，陳重文議員,25000,1481,977,-1
41,2019年6月4日,1559577600.0,中國大陸過去三十年，,47000,8337,656,-1
42,2019年6月2日,1559404800.0,科學小常識：為什麼爬,21000,2596,585,-1
43,2019年6月2日,1559404800.0,【走出天龍國】最,32000,1682,373,-1
44,2019年5月31日,1559232000.0,有人說我們不繼續興建,37000,3206,480,-1
45,2019年5月29日,1559059200.0,去年，台北市每十萬人,36000,2537,482,-1
46,2019年5月29日,1559059200.0,今天鍾小平議員帶了一,60000,2517,756,-1
47,2019年5月28日,1558972800.0,【出訪筆記🇯🇵06／,24000,1274,1248,-1
48,2019年5月26日,1558800000.0,【出訪筆記🇯🇵05／,25000,1419,275,-1
49,2019年5月26日,1558800000.0,去機場之前，跟大家介,45000,1215,192,-1
50,2019年5月25日,1558713600.0,【出訪筆記🇯🇵04／,26000,1337,1197,-1
51,2019年5月25日,1558713600.0,【出訪筆記🇯🇵03／,33000,2022,793,-1
52,2019年5月24日,1558627200.0,【出訪筆記🇯🇵02／,22000,1066,316,-1
53,2019年5月24日,1558627200.0,【出訪筆記🇯🇵01／,22000,1258,239,-1
54,2019年5月23日,1558540800.0,第一天的鐵人行程終於,19443,-1,237,190000
55,2019年5月22日,1558454400.0,今天一大早7點半就要,58000,2332,370,-1
56,2019年5月22日,1558454400.0,台北市議會國民黨黨團,41000,2978,1890,-1
57,2019年5月21日,1558368000.0,#創新和自由的靈魂,13000,1588,833,-1
58,2019年5月21日,1558368000.0,我常常會碎碎念，也不,75000,4604,1442,-1
59,2019年5月20日,1558281600.0,#在地化才有國際化,14000,1444,338,-1
60,2019年5月18日,1558108800.0,台北市議會的水準很高,35000,3856,1203,-1
61,2019年5月17日,1558022400.0,#拼台北老店再生#,15000,1718,514,-1
62,2019年5月17日,1558022400.0,立法院已三讀通過，5,65000,5185,641,-1
63,2019年5月15日,1557849600.0,【國家治理】國家,44000,8286,995,-1
64,2019年5月12日,1557590400.0,#來賓請掌聲鼓勵,29000,4534,942,-1
65,2019年5月12日,1557590400.0,#柯文哲的智慧城市戰,19000,1894,831,-1
66,2019年5月11日,1557504000.0,我媽媽的個性跟我一樣,63000,1277,273,-1
67,2019年5月11日,1557504000.0,#雙語教育領先全台,26000,1763,2162,-1
68,2019年5月9日,1557331200.0,老實說，從去年11月,86000,3708,1025,-1
69,2019年5月9日,1557331200.0,政治就是落實在人民生,44000,2263,583,-1
70,2019年5月8日,1557244800.0,去年選舉時，有一位自,41000,1692,486,-1
71,2019年5月7日,1557158400.0,還債是數學題，不是作,28000,1778,598,-1
72,2019年5月7日,1557158400.0,#中正橋改建開工#,36000,1783,1520,-1
73,2019年5月6日,1557072000.0,#如何拼貓空觀光財,14000,836,380,-1
74,2019年5月5日,1556985600.0,很多事情，做了不會加,33000,3837,737,-1
75,2019年5月4日,1556899200.0,最近，高雄市議會的一,100000,3787,2108,-1
76,2019年5月4日,1556899200.0,#把所有的小問題都解,46000,1858,957,-1
77,2019年5月3日,1556812800.0,#北市府的認真日常,14000,1129,333,-1
78,2019年5月2日,1556726400.0,#一起早起七點半開會,32000,2014,552,-1
79,2019年5月1日,1556640000.0,#關於昨晚的大巨蛋停,47000,2792,1647,-1
80,2019年5月1日,1556640000.0,#全台唯一勞動局,21000,745,458,-1
81,2019年4月30日,1556553600.0,雖然整個台灣吵吵鬧鬧,33000,1706,428,-1
82,2019年4月29日,1556467200.0,「織田信長在桶狹間，,32000,1711,504,-1
83,2019年4月29日,1556467200.0,#北流來襲#北市府,42000,1724,1348,-1
84,2019年4月27日,1556294400.0,#柯文哲的東區研究報,19000,2071,1243,-1
85,2019年4月26日,1556208000.0,我們必須務實面對紛擾,37000,3283,2286,-1
86,2019年4月24日,1556035200.0,難得去行政院會，結果,51000,2820,229,-1
87,2019年4月24日,1556035200.0,#與英國經濟學人智庫,18000,1123,579,-1
88,2019年4月24日,1556035200.0,「政府的建設，要有戰,21000,1454,768,-1
89,2019年4月23日,1555948800.0,大家每天問我一樣的總,59000,2647,890,-1
90,2019年4月22日,1555862400.0,每天睡前打坐，都有所,36000,1551,931,-1
91,2019年4月21日,1555776000.0,上個禮拜的大甲媽祖遶,42000,1676,2045,-1
92,2019年4月20日,1555689600.0,【這個國家只剩下黨內,69000,3952,1708,-1
93,2019年4月19日,1555603200.0,#精實政府在台灣,33000,1520,760,-1
