,時間,時間數值,內容,按讚,留言,分享,觀看次數
0,today,1563275927.625327,很多人問，是否輸了初,71000,-1,-1,
1,today,1563275927.626312,小編：請大家跟果凍一,3471,652,31,-1.0
2,2019年7月14日,1563033600.0,昨天我到彰化去參訪，,68000,8717,622,-1.0
3,2019年7月13日,1562947200.0,【戳破民進黨吹的經貿,12000,3065,347,-1.0
4,2019年7月12日,1562860800.0,【讓「癌症村」改名「,97000,4480,938,-1.0
5,2019年7月11日,1562774400.0,有影片有真相！我正在,20000,1959,320,-1.0
6,2019年7月11日,1562774400.0,午安，我現在正在雲端,4468,551,69,-1.0
7,2019年7月11日,1562774400.0,我的小編貼這個給我，,7182,1457,131,-1.0
8,2019年7月11日,1562774400.0,【富人多繳稅，全民都,86000,4482,924,-1.0
9,2019年7月10日,1562688000.0,果凍也來瓶蓋挑戰！結,76000,9498,2785,-1.0
10,2019年7月9日,1562601600.0,【相信郭台銘 就會贏,13000,1956,472,-1.0
11,2019年7月9日,1562601600.0,【現在守住電話 未來,20000,3389,434,-1.0
12,2019年7月8日,1562515200.0,【這不是生意，是社會,53000,2488,1183,-1.0
13,2019年7月8日,1562515200.0,今天蔡總統特地寫臉書,43000,4052,718,-1.0
14,2019年7月8日,1562515200.0,【郭懂特效框換起來！,10000,895,274,-1.0
15,2019年7月7日,1562428800.0,現在許多年輕人因為低,19000,2200,915,-1.0
16,2019年7月7日,1562428800.0,請大家支持果凍 TV,27000,1645,271,-1.0
17,2019年7月7日,1562428800.0,【蔡英文連收國旗帽的,72000,4423,871,-1.0
18,2019年7月6日,1562342400.0,【這不是生意，這是社,24000,2318,1401,-1.0
19,2019年7月6日,1562342400.0,這幾天，當您接到國民,30000,5380,1974,-1.0
20,2019年7月5日,1562256000.0,【要跟富人收到税，只,12000,1332,495,-1.0
21,2019年7月5日,1562256000.0,鄉親注意囉！ 「台灣,12484,-1,545,320000.0
22,2019年7月5日,1562256000.0,晚安，今晚九點我要和,8287,928,156,-1.0
23,2019年7月5日,1562256000.0,昨天到嘉義慰問勇警承,47000,2010,756,-1.0
24,2019年7月4日,1562169600.0,或許錢換不回生命，但,38000,3156,2147,-1.0
25,2019年7月3日,1562083200.0,悲劇在台鐵北上列車發,75000,3361,921,-1.0
26,2019年7月3日,1562083200.0,我在國政願景發表會提,62000,6229,1297,-1.0
27,2019年7月2日,1561996800.0,台大校長管中閔因擔任,13000,813,219,-1.0
28,2019年7月2日,1561996800.0,我接受台灣大胃王丁丁,35000,2183,1469,-1.0
29,2019年7月2日,1561996800.0,早安，今天的郭董早餐,8687,-1,247,320000.0
30,2019年7月2日,1561996800.0,【解決少子化 政客為,38000,2569,819,-1.0
31,2019年7月2日,1561996800.0,民進黨2020輸了，,11000,885,206,-1.0
32,2019年7月2日,1561996800.0,有人問我，為什麼要離,27000,2547,1301,-1.0
33,2019年7月1日,1561910400.0,【現場直播】《從郭董,10109,-1,346,100000.0
34,2019年7月1日,1561910400.0,晚安，我跟館長的直播,53000,3897,416,-1.0
35,2019年7月1日,1561910400.0,【外瓜的PK！？】,8166,863,131,-1.0
36,2019年6月30日,1561824000.0,【解決少子化問題才是,53000,3654,825,-1.0
37,2019年6月29日,1561737600.0,「中華民國是我們的國,50000,3516,842,-1.0
38,2019年6月28日,1561651200.0,看見守護中華民國國土,9489,810,100,-1.0
39,2019年6月28日,1561651200.0,台北市長柯文哲為了雙,9457,1208,240,-1.0
40,2019年6月27日,1561564800.0,【拒絕無良媒體 守護,69000,6511,1094,-1.0
41,2019年6月27日,1561564800.0,郭董早餐會邀請到「i,8353,-1,507,270000.0
42,2019年6月26日,1561478400.0,【公托公幼免抽籤】 ,47000,4101,2118,-1.0
43,2019年6月26日,1561478400.0,【我就是中華民國最強,58000,4077,992,-1.0
44,2019年6月25日,1561392000.0,【蔡總統不敢告訴你的,59000,3713,1810,-1.0
45,2019年6月25日,1561392000.0,【中華民國贏 相信郭,52000,4359,964,-1.0
46,2019年6月24日,1561305600.0,【媽媽的笑 郭懂】 ,18000,1800,859,-1.0
47,2019年6月23日,1561219200.0,【台灣要贏 郭懂】 ,21000,1919,686,-1.0
48,2019年6月22日,1561132800.0,我今天非常感謝，這次,68000,3843,1611,-1.0
49,2019年6月21日,1561046400.0,各位午安，我與我的好,8250,510,291,-1.0
50,2019年6月21日,1561046400.0,【我轉換的跑道，將是,95000,6082,1894,-1.0
51,2019年6月20日,1560960000.0,我將在後天 6/22,57000,2691,944,-1.0
52,2019年6月19日,1560873600.0,【智慧科技島】 大家,38000,2425,1005,-1.0
53,2019年6月18日,1560787200.0,【果凍的新書開始預購,61000,3484,909,-1.0
54,2019年6月17日,1560700800.0,挺香港民主自由，莫忘,63000,4105,1014,-1.0
55,2019年6月16日,1560614400.0,【果凍教你一個月學會,17000,2077,929,-1.0
56,2019年6月15日,1560528000.0,【為了選票朝令夕改，,63000,5228,752,-1.0
57,2019年6月14日,1560441600.0,【果凍為了對抗癌症做,29000,2794,836,-1.0
58,2019年6月13日,1560355200.0,郭董早餐會邀請到《一,13905,-1,1006,450000.0
59,2019年6月13日,1560355200.0,今天我要跟呂捷老師一,23224,-1,1449,1070000.0
60,2019年6月12日,1560268800.0,今天晚上9點有我跟呂,13000,1532,293,-1.0
61,2019年6月12日,1560268800.0,郭董早餐會邀請到3C,10419,-1,357,180000.0
62,2019年6月12日,1560268800.0,【追求民主自由撐香港,75000,8150,1476,-1.0
63,2019年6月11日,1560182400.0,【我拼的經濟不分族群,65000,5505,1687,-1.0
64,2019年6月10日,1560096000.0,【斷章取義還是賴皮硬,50000,3168,872,-1.0
65,2019年6月10日,1560096000.0,【一國兩制的失敗 代,38000,5582,1005,-1.0
66,2019年6月9日,1560009600.0,郭董早餐會邀請到亞洲,13620,-1,607,760000.0
67,2019年6月9日,1560009600.0,首先，我要先跟曾經服,120000,6485,1700,-1.0
68,2019年6月8日,1559923200.0,【快樂運動 台灣發光,17000,1566,423,-1.0
69,2019年6月7日,1559836800.0,感謝今天大家的熱情支,13000,2374,380,-1.0
70,2019年6月6日,1559750400.0,小時候只要到端午節，,16000,2171,600,-1.0
71,2019年6月5日,1559664000.0,我從參與選舉到現在，,36000,7135,907,-1.0
72,2019年6月4日,1559577600.0,各位午安，等等鄉民大,13696,-1,786,300000.0
73,2019年6月4日,1559577600.0,跟大家分享個故事，我,20000,2316,1138,-1.0
74,2019年6月3日,1559491200.0,【中美貿易戰升溫，蔡,28000,3196,892,-1.0
75,2019年6月2日,1559404800.0,我今天邀請到專業的造,9995,-1,467,240000.0
76,2019年6月2日,1559404800.0,【海嘯要來了 小英還,55000,6216,2122,-1.0
77,2019年6月1日,1559318400.0,【父母的煩惱我懂 要,19000,3465,839,-1.0
78,2019年5月31日,1559232000.0,【癌症教我的事：有錢,20000,1747,779,-1.0
79,2019年5月29日,1559059200.0,【政府高官無所作為，,11603,-1,394,330000.0
80,2019年5月29日,1559059200.0,最近張忠謀先生說，中,28000,3247,765,-1.0
81,2019年5月28日,1558972800.0,【連中選會都淪陷為新,25000,3211,679,-1.0
82,2019年5月27日,1558886400.0,我的YouTube頻,17000,2102,763,-1.0
83,2019年5月26日,1558800000.0,我這兩天來到嘉義，充,24000,2963,449,-1.0
84,2019年5月24日,1558627200.0,【郭台銘的國家發展藍,22000,4098,1003,-1.0
85,2019年5月23日,1558540800.0,我想跟各位聊聊我去雲,13000,2322,479,-1.0
86,2019年5月22日,1558454400.0,【轉變低薪困境，換郭,21000,3417,995,-1.0
87,2019年5月20日,1558281600.0,【蔡總統做衰台灣 2,28000,4670,1480,-1.0
88,2019年5月19日,1558195200.0,【雲林糧倉富、中華民,17000,2847,397,-1.0
89,2019年5月18日,1558108800.0,【努力人生才有逆轉勝,21000,3928,1024,-1.0
90,2019年5月18日,1558108800.0,你對郭台銘選總統有什,14012,-1,1196,220000.0
91,2019年5月17日,1558022400.0,等等下午三點我會和年,8702,1890,174,-1.0
92,2019年5月17日,1558022400.0,今天中午在東華大學的,17000,2572,290,-1.0
93,2019年5月16日,1557936000.0,今天我受張善政前院長,22000,3242,540,-1.0
94,2019年5月16日,1557936000.0,【郭董碎碎念之業務員,19000,3527,1333,-1.0
95,2019年5月15日,1557849600.0,我這兩天在台東，很多,21000,2211,328,-1.0
96,2019年5月15日,1557849600.0,【破壞人民信任的蔡政,28000,2994,971,-1.0
97,2019年5月14日,1557763200.0,【誰是真郭董！？】,13798,-1,849,220000.0
98,2019年5月14日,1557763200.0,【需要執行力的事，郭,27000,3451,844,-1.0
99,2019年5月13日,1557676800.0,【跟郭台銘一起打國際,19000,2508,631,-1.0
100,2019年5月12日,1557590400.0,今天是母親節，我和媽,39000,2660,526,-1.0
101,2019年5月11日,1557504000.0,【手帕與彈珠的回憶】,15000,1022,355,-1.0
102,2019年5月10日,1557417600.0,大家晚安，我想跟各位,42000,3198,1553,-1.0
103,2019年5月9日,1557331200.0,大家晚安😴💤，雖然夜,53000,3415,1001,-1.0
104,2019年5月9日,1557331200.0,今天我為了準備母親節,28000,1920,347,-1.0
105,2019年5月8日,1557244800.0,【經濟 郭懂 Tal,33000,6275,2865,-1.0
106,2019年5月8日,1557244800.0,【郭董 Talksh,10000,1103,292,-1.0
107,2019年5月7日,1557158400.0,有網友看到我昨天在記,26000,2827,1307,-1.0
108,2019年5月5日,1556985600.0,針對今天陸委會主委陳,37000,4245,1070,-1.0
109,2019年5月5日,1556985600.0,各位晚安，想與大家分,30000,2826,737,-1.0
110,2019年5月4日,1556899200.0,【擺脫經濟發展困境 ,32000,4135,1232,-1.0
111,2019年5月3日,1556812800.0,台灣有位黑鳶專家「老,20000,1898,1045,-1.0
