,時間,時間數值,內容,按讚,留言,分享,觀看次數
0,today,1563276574.869681,早安台灣，加勒比海這,22000,969,322,-1.0
1,today,1563276574.869708,今天一早，即將展開我,46000,2502,849,-1.0
2,2019年7月14日,1563033600.0,#聖克里斯多福及尼維,23000,1257,431,-1.0
3,2019年7月14日,1563033600.0,今天我搭乘非常特別的,27000,644,377,-1.0
4,2019年7月14日,1563033600.0,台灣的大家晚安！出訪,24000,964,658,-1.0
5,2019年7月14日,1563033600.0,更新封面照片或其他,86000,4410,386,-1.0
6,2019年7月14日,1563033600.0,拚外交，一日三國任務,40000,1322,616,-1.0
7,2019年7月14日,1563033600.0,拚外交，也拚經濟！,16000,763,423,-1.0
8,2019年7月13日,1562947200.0,台灣的朋友午安，#海,21000,866,378,-1.0
9,2019年7月13日,1562947200.0,早安台灣！這是我,57000,1947,830,-1.0
10,2019年7月13日,1562947200.0,今天我跟很多海外的台,48000,1492,780,-1.0
11,2019年7月13日,1562947200.0,Good Morni,12000,467,355,-1.0
12,2019年7月13日,1562947200.0,今天，我很榮幸從美國,39000,1307,932,-1.0
13,2019年7月12日,1562860800.0,前往哥倫比亞大學的路,100000,5274,8905,-1.0
14,2019年7月12日,1562860800.0,每次出訪，立法院也都,25000,1171,311,-1.0
15,2019年7月12日,1562860800.0,台灣的朋友晚安！紐約,18000,970,495,-1.0
16,2019年7月11日,1562774400.0,抵達紐約的第一個公開,35000,1584,953,-1.0
17,2019年7月11日,1562774400.0,早安台北，經過將近十,49000,1698,781,-1.0
18,2019年7月11日,1562774400.0,更新封面照片或其他,56000,1478,491,-1.0
19,2019年7月11日,1562774400.0,大家晚安，我正在太平,21000,837,620,-1.0
20,2019年7月10日,1562688000.0,各位朋友，現在我們準,32000,1660,764,-1.0
21,2019年7月10日,1562688000.0,我今天將展開為期12,21000,1036,491,-1.0
22,2019年7月10日,1562688000.0,我將展開為期12天的,17000,1537,394,-1.0
23,2019年7月9日,1562601600.0,為了申請 Dcard,43000,1647,1631,-1.0
24,2019年7月9日,1562601600.0,今天疾管署不小心把發,53000,1547,1494,-1.0
25,2019年7月8日,1562515200.0,國軍獲得最好的裝備來,32000,2139,837,-1.0
26,2019年7月8日,1562515200.0,你還記得前年台北世大,33000,1045,479,-1.0
27,2019年7月8日,1562515200.0,關於郭董的國旗帽，我,100000,5579,3776,-1.0
28,2019年7月7日,1562428800.0,台灣的轉型正義雖然曾,39000,2291,1575,-1.0
29,2019年7月6日,1562342400.0,前天，我接受了《范琪,20000,1994,1324,-1.0
30,2019年7月5日,1562256000.0,公視台語台 正式開播,31000,1343,1174,-1.0
31,2019年7月4日,1562169600.0,立法院臨時會結束，謝,43000,2945,1490,-1.0
32,2019年7月4日,1562169600.0,昨天，我的老朋友、台,25000,724,314,-1.0
33,2019年7月4日,1562169600.0,當主政外交的總統遇上,23000,3699,1484,-1.0
34,2019年7月4日,1562169600.0,跟著小英、范琪斐一起,17000,943,357,-1.0
35,2019年7月3日,1562083200.0,今天一早，得知年輕的,58000,4436,858,-1.0
36,2019年7月3日,1562083200.0,口蹄疫拔針成功一週年,39000,1287,1134,-1.0
37,2019年7月2日,1561996800.0,大家都有安裝Whos,34000,1448,1278,-1.0
38,2019年7月2日,1561996800.0,今天媒體報導有參選人,140000,7695,7270,-1.0
39,2019年7月1日,1561910400.0,香港「反送中」持續發,29000,3123,1312,-1.0
40,2019年6月30日,1561824000.0,最近國際上有很多重要,26000,2568,667,-1.0
41,2019年6月30日,1561824000.0,今天有在台東遇到我、,38000,1821,423,-1.0
42,2019年6月29日,1561737600.0,「能夠生在台灣是一件,92000,2152,2483,-1.0
43,2019年6月28日,1561651200.0,週末有一點點空檔，想,57000,2835,2934,-1.0
44,2019年6月28日,1561651200.0,守護台灣豬 腳步不能,25000,1215,802,-1.0
45,2019年6月27日,1561564800.0,七月一日開始新制上路,57000,3881,2664,-1.0
46,2019年6月27日,1561564800.0,歐盟漁業黃牌，解除！,82000,2565,3598,-1.0
