,時間,時間數值,內容,按讚,留言,分享,觀看次數
0,today,1563275684.9345028,【五個感謝】 在得知,67000,-1,-1,
1,today,1563275684.9350028,上週一我與Youtu,35000,5654,1213,-1.0
2,2019年7月13日,1562947200.0,【賣菜郎的瓶蓋挑戰】,49000,9420,4319,-1.0
3,2019年7月12日,1562860800.0,【豪雨致災 勘災農損,48000,8278,2116,-1.0
4,2019年7月10日,1562688000.0,今天我想讓大家多了解,55748,-1,5633,400000.0
5,2019年7月10日,1562688000.0,人生道路總是充滿一道,43000,6924,1648,-1.0
6,2019年7月8日,1562515200.0,【視察下水道清淤】 ,58000,8612,2982,-1.0
7,2019年7月7日,1562428800.0,更新封面照片或其他,62531,-1,15276,750000.0
8,2019年7月6日,1562342400.0,港都快閃！國瑜在哪裡,57646,-1,4657,540000.0
9,2019年7月4日,1562169600.0,很遺憾李承翰警員在今,55000,8872,1624,-1.0
10,2019年7月4日,1562169600.0,鄉親來來來看過來！ ,36216,-1,2366,350000.0
11,2019年7月3日,1562083200.0,剛下國政論壇就聽到不,42000,3344,608,-1.0
12,2019年7月2日,1561996800.0,我是台灣人，我們不能,53000,1,-1,-1.0
13,2019年7月1日,1561910400.0,大家吃飽了沒，一起聊,79838,-1,9254,620000.0
14,2019年6月28日,1561651200.0,這次我和玉琳兄、咪雅,44000,7902,1293,-1.0
15,2019年6月28日,1561651200.0,【半年市府團隊成果亮,62000,-1,-1,
16,2019年6月26日,1561478400.0,【憲政、外交、兩岸、,56000,-1,-1,
17,2019年6月26日,1561478400.0,【畢業快樂】 模範生,60000,-1,-1,
18,2019年6月24日,1561305600.0,這個月我和萬安委員、,46000,8501,1409,-1.0
19,2019年6月24日,1561305600.0,【「相挺」中小企業 ,45000,7543,1858,-1.0
20,2019年6月23日,1561219200.0,【防疫救災不分藍綠，,36000,5935,1359,-1.0
21,2019年6月23日,1561219200.0,謝謝所有來台中的鄉親,49000,8611,1549,-1.0
22,2019年6月20日,1560960000.0,市長忙什麼-巡視路平,77884,-1,5857,700000.0
23,2019年6月20日,1560960000.0,高雄市長忙什麼- 高,66695,-1,3274,640000.0
24,2019年6月20日,1560960000.0,高雄市長忙什麼- 港,33248,-1,1620,290000.0
25,2019年6月20日,1560960000.0,高雄市長忙什麼- 港,32258,-1,691,140000.0
26,2019年6月19日,1560873600.0,高雄市長忙什麼 — ,48651,-1,2045,300000.0
27,2019年6月19日,1560873600.0,高雄市長忙什麼－與衛,56940,-1,3434,350000.0
28,2019年6月19日,1560873600.0,高雄市長忙什麼－登革,40097,-1,1431,200000.0
29,2019年6月18日,1560787200.0,【清淤工作】 這幾天,82000,-1,-1,
30,2019年6月17日,1560700800.0,【高雄出現首例秋行軍,30000,5052,718,-1.0
31,2019年6月17日,1560700800.0,【時光飛轉，彈指又是,80000,-1,-1,
32,2019年6月16日,1560614400.0,【秋行軍蟲】 自6月,32000,5650,850,-1.0
33,2019年6月16日,1560614400.0,高雄市新聞局在6月1,53000,-1,-1,
34,2019年6月15日,1560528000.0,【吃得營養 長得健康,56000,7499,1694,-1.0
35,2019年6月15日,1560528000.0,【中央政府要搞你、防,62000,2,-1,-1.0
36,2019年6月15日,1560528000.0,【雲林是我第二個家鄉,90000,-1,-1,
37,2019年6月14日,1560441600.0,【警察節】 今天是警,50000,6137,1286,-1.0
38,2019年6月14日,1560441600.0,【院長衝衝衝、防疫補,48000,-1,-1,
39,2019年6月13日,1560355200.0,【繼續努力防汛、防範,64000,-1,-1,
40,2019年6月12日,1560268800.0,鄭重呼籲香港政府，在,99000,-1,-1,
41,2019年6月11日,1560182400.0,【相信賣菜郎、相信民,100000,-1,-1,
